ISBN,Title,Subtitle,Author,Format,Number of pages,Publisher,Publication date,Private Note,Comment title,Comment content,Status,Stars,Tags
"[9781439137697]","The White Tiger","A Novel","Aravind Adiga","Mass Market Paperback","","Free Press","[2008-xx-xx]","","","","Finished in May 2009","5",""
"[9780679740674]","The Man in the High Castle","","Philip K Dick","Paperback","272","Vintage","[1992-06-30]","","","","Finished on Sep 5, 2009","5",""
"[9781591840930]","Small Giants","Companies That Choose to Be Great Instead of Big","Bo Burlingham","Hardcover","256","Portfolio Hardcover","[2005-12-29]","","","Basically a collection of anecdotes this book makes for a nice read but the point is made about halfway and then repeated ad nauseum.</p><p>All in all you might get some good ideas from this though if your in the process of starting a business yourself or not getting much satisfaction out of your current one.","Finished on Sep 12, 2009","4",""
"[9789021497617]","Odyssee","","Homerus","","403","","[1997-01-01]","","","","Finished","4",""
"[9780349102153]","The Bridge","","Iain M. Banks","Paperback","400","Abacus","[1992-05-01]","","","","Finished","5",""
"[9780596518752]","Building Social Web Applications","Establishing Community at the Heart of Your Site","Gavin Bell","","350","O'Reilly Media, Inc.","[2009-08-01]","","Great introduction","Both for experienced web developers or those just starting out building or designing social web apps this book offers a great summary of the many things you need to take into account. It offers both suggestions for your planning and design phase and best practices for building.","Finished","4",""
"[9780596529321]","Programming Collective Intelligence","Building Smart Web 2.0 Applications","Toby Segaran","Paperback","358","O'Reilly Media, Inc.","[2007-08-01]","","","","Not Started","",""
"[9780747581451]","Tooth and Claw","","T.C. Boyle","Paperback","304","Bloomsbury","[2006-09-04]","","","","Reading since Nov 11, 2007","",""
"[9780553380958]","Snow Crash","(Bantam Spectra Book)","Neal Stephenson","Paperback","480","Spectra","[2000-05-02]","","","","Started on Oct 22, 2007","5",""
"[9780618680009]","The God Delusion","","Richard Dawkins","Hardcover","416","Houghton Mifflin","[2006-09-18]","","","","Finished on Oct 1, 2007","5","non-fiction / philosophy / science / religion"
"[9780425198681]","Pattern Recognition","","William Gibson","Paperback","384","Berkley","[2005-02-01]","","","","Finished on Sep 25, 2007","5",""
"[9789022990049]","Duiveltjelief","","Eric Frank Russell","Paperback","160","Bruna Science Fiction","[1971-xx-xx]","","","","Finished on Aug 9, 2007","3",""
